estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.591681383;ldhp;;;;;0.349051947;2266.622555;1.695109822;0.090191941
1.445164097;ldhp2;;;;;0.041586606;7210.811195;34.75071047;0
0.014602148;ldhp*st;;;;;0.001592026;7454.08907;9.172051497;0
-0.000334839;ldhp*stgt;;;;;0.008461434;6372.893097;-0.039572428;0.968435249
0.012642885;ldhp2*stgt;;;;;0.002811438;6358.734462;4.496946683;7.01606E-06
0.357746428;ldhp*sdom;;1;;;0.122228453;1855.988517;2.926867016;0.003465602
0.324515973;ldhp*sdom;;2EST;;;0.113767499;1938.153029;2.852448872;0.004384384
0.497572098;ldhp*sdom;;2OUEST;;;0.12412062;1905.867877;4.0087787;6.33847E-05
0.24821217;ldhp*sdom;;3EST;;;0.099341633;1793.641958;2.498571482;0.012558361
0.540554102;ldhp*sdom;;3OUEST;;;0.094009469;1755.832128;5.749996334;1.05038E-08
0.054152062;ldhp*sdom;;4EST;;;0.09305592;1773.215446;0.581930321;0.56068759
0.368891897;ldhp*sdom;;4OUEST;;;0.084635539;1755.778631;4.358593362;1.38482E-05
0.011299314;ldhp*sdom;;5EST;;;0.109800134;1765.603935;0.102908019;0.91804766
0.204682096;ldhp*sdom;;5OUEST;;;0.082377931;1743.430667;2.484671497;0.013060319
-0.312063946;ldhp*sdom;;6EST;;;0.152891685;1901.457752;-2.041078598;0.041380832
0.30024865;ldhp*vp;;;FE2;;0.115572049;2143.89764;2.59793482;0.009442839
0.38462498;ldhp*vp;;;FE3;;0.080269892;1754.246178;4.791646899;1.79352E-06
0.17813589;ldhp*vp;;;FE6;;0.150719651;2002.581841;1.181902213;0.237384827
-0.295532217;ldhp*vp;;;ME1;;0.18359471;1408.845031;-1.609698979;0.107687613
0.188282623;ldhp*vp;;;MJ1;;0.087278222;1790.184689;2.157269233;0.031117398
0.172719256;ldhp*vp;;;MJ2;;0.066460373;1724.368973;2.59883068;0.009433938
0.227590003;ldhp*vp;;;MS1;;0.084708056;1745.108831;2.686757485;0.007283399
0.112427583;ldhp*vp;;;MS2;;0.04903196;1689.221475;2.292944889;0.021973551
-0.017603752;ldhp*vp;;;MS6;;0.083173891;1685.443974;-0.21164998;0.832405703
-0.281759019;ldhp*vp;;;RE2;;0.071114185;2038.244208;-3.962064925;7.68608E-05
-0.179843551;ldhp*vp;;;RE3;;0.273125949;1925.660218;-0.658463803;0.510318865
-0.135011376;ldhp*vp;;;RP1;;0.118648962;1798.559112;-1.137906091;0.255311256
0.090239822;ldhp*vp;;;RS1;;0.102714009;1877.80807;0.878554179;0.37975545
-0.000966179;ldhp*Ptot;;;;;0.000208396;1831.197467;-4.63626029;3.79856E-06
-0.1071409;ldhp*milieu;;;;0;0.257827383;1980.522616;-0.415552835;0.677782263
0.173395942;ldhp*milieu;;;;1;0.255189152;1974.433526;0.679480068;0.49691338
0.170617679;ldhp*milieu;;;;2;0.251728073;1978.970678;0.677785665;0.497986835
0.196637471;ldhp*milieu;;;;3;0.256462522;1959.242391;0.766729852;0.443334525
0.113848891;ldhp*milieu;;;;5;0.253310084;1965.870164;0.449444766;0.65316039
0.032977174;ldhp*milieu;;;;6;0.259481478;1954.795493;0.127088739;0.898883236
0.074087818;ldhp*pert;INT;;;;0.026266314;5623.425301;2.820640109;0.004809585
0.063228316;ldhp*pert;MOY;;;;0.024884988;5172.038046;2.540821695;0.011088208
