estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-2.629752626;ldhp;;;;;0.148636457;11117.99426;-17.69251417;0
2.020485407;ldhp2;;;;;0.0235022;38420.57023;85.97005503;0
0.012209969;ldhp*st;;;;;0.001118832;36652.59553;10.91313779;0
-0.034572355;ldhp*stgt;;;;;0.003386979;37858.99612;-10.20743189;0
0.018634644;ldhp2*stgt;;;;;0.001198282;37798.3546;15.55113447;0
0.013615855;ldhp*sdom;;1;;;0.083457297;8252.490241;0.163147568;0.870406242
-0.19805339;ldhp*sdom;;2EST;;;0.061722178;7110.259207;-3.208788116;0.001338873
0.092375401;ldhp*sdom;;2OUEST;;;0.067655418;7757.076196;1.365380682;0.172173025
-0.140871446;ldhp*sdom;;3EST;;;0.047013449;7392.158995;-2.996407393;0.00274088
0.11822495;ldhp*sdom;;3OUEST;;;0.049887017;7526.084325;2.369854045;0.017820181
-0.354465186;ldhp*sdom;;4EST;;;0.04586475;7530.243191;-7.728488341;1.23E-14
-0.02978261;ldhp*sdom;;4OUEST;;;0.041870993;7691.823233;-0.711294566;0.476923287
-0.352757689;ldhp*sdom;;5EST;;;0.039320704;7667.295875;-8.971296294;0
0.0270824;ldhp*sdom;;5OUEST;;;0.041603437;7712.339571;0.650965449;0.515088184
-0.320689544;ldhp*sdom;;6EST;;;0.03885179;7965.452014;-8.254176797;2E-16
-0.186933372;ldhp*vp;;;FE2;;0.104227454;9562.775843;-1.79351376;0.072922397
-0.14962862;ldhp*vp;;;FE3;;0.08765089;9021.593199;-1.707097555;0.087838332
-0.146539374;ldhp*vp;;;FE6;;0.104951612;9320.43482;-1.396256533;0.16267051
-0.109678133;ldhp*vp;;;MF1;;0.108621017;8426.696073;-1.009732145;0.312652629
-0.041576775;ldhp*vp;;;MJ1;;0.086877622;8815.765275;-0.478567135;0.632258472
-0.020096268;ldhp*vp;;;MJ2;;0.08590823;8917.500775;-0.233927158;0.815046899
0.040075346;ldhp*vp;;;MS1;;0.089345794;8690.948369;0.448542056;0.653773224
0.06352553;ldhp*vp;;;MS2;;0.085994674;8912.079225;0.7387147;0.460099711
-1.210556231;ldhp*vp;;;MS4;;0.180159365;5156.363368;-6.719363347;2.02237E-11
-0.132642845;ldhp*vp;;;MS6;;0.094455169;8534.95527;-1.404294197;0.160267649
-0.145835076;ldhp*vp;;;RB1;;0.134094274;8452.370192;-1.08755633;0.276822029
-0.569019526;ldhp*vp;;;RB5;;0.115125532;6476.28848;-4.942600643;7.90256E-07
-0.055970267;ldhp*vp;;;RC3;;0.123666356;8085.497778;-0.452590897;0.650855498
-0.190435265;ldhp*vp;;;RE2;;0.09030125;9138.058711;-2.108888472;0.034981347
-0.031695162;ldhp*vp;;;RE3;;0.127106255;8548.943911;-0.249359576;0.803088642
-0.115736679;ldhp*vp;;;RP1;;0.101528936;9355.938503;-1.139937865;0.25434137
0.000706468;ldhp*vp;;;RS1;;0.090700033;8814.641293;0.007789063;0.993785466
-0.081060019;ldhp*vp;;;RS2;;0.08697755;8905.121267;-0.931964846;0.351379959
0.077216812;ldhp*vp;;;RS3;;0.116025276;7898.949407;0.665517158;0.505739205
-0.340649891;ldhp*vp;;;RS4;;0.166626897;7575.894399;-2.044387177;0.040949808
-0.103757684;ldhp*vp;;;RS5;;0.101425306;8398.425558;-1.022996013;0.306339196
0.000125784;ldhp*dens;;;;;1.34353E-05;34343.785;9.362257046;0
0.175181366;ldhp*milieu;;;;0;0.098534213;7519.633047;1.777873501;0.075465035
0.23218722;ldhp*milieu;;;;1;0.09920469;7546.367046;2.340486331;0.019284553
0.220677045;ldhp*milieu;;;;2;0.095784172;7526.377353;2.303898857;0.021255432
0.064197463;ldhp*milieu;;;;3;0.099540781;7406.921713;0.644936299;0.518988442
0.273252213;ldhp*milieu;;;;4;0.10710549;7473.128484;2.551243774;0.010753668
0.241612582;ldhp*milieu;;;;5;0.096374995;7526.888524;2.507004869;0.012196807
0.101938169;ldhp*milieu;;;;6;0.102118242;7490.218035;0.99823662;0.31819688
0.255110886;ldhp*milieu;;;;7;0.079275017;8495.542223;3.218048958;0.001295502
0.10697655;ldhp*milieu;;;;8;0.067263484;8337.822927;1.590410477;0.111780222
0.055083651;ldhp*Tmoy;;;;;0.007404942;6821.431838;7.438768281;1.141E-13
