estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-0.772519769;ldhp;;;;;0.165774134;2220.674352;-4.660074233;3.34814E-06
1.183809657;ldhp2;;;;;0.052260366;4097.103091;22.65215026;0
0.014948699;ldhp*st;;;;;0.001258191;3655.339425;11.88110913;0
-0.168816178;ldhp*rdhp;;;;;0.043728626;3733.377445;-3.86054157;0.000115051
-0.321282771;ldhp*sdom;;1;;;0.114708774;688.2916482;-2.800856125;0.005239776
-0.251229839;ldhp*sdom;;2EST;;;0.082437803;774.5758664;-3.047507682;0.002385874
0.079508715;ldhp*sdom;;2OUEST;;;0.076912253;664.3110453;1.033758764;0.301625132
-0.18088486;ldhp*sdom;;3EST;;;0.048706309;734.2662829;-3.713787044;0.000219657
0.001082715;ldhp*sdom;;3OUEST;;;0.050876173;699.693961;0.021281374;0.983027269
-0.266391847;ldhp*sdom;;4EST;;;0.049805701;715.6729447;-5.348621527;1.19372E-07
0.118116578;ldhp*Tmoy;;;;;0.021939807;745.4701718;5.383665354;9.78738E-08
-0.049704088;ldhp*vp;;;FE3;;0.109628462;847.3716959;-0.453386718;0.650386377
0.104877301;ldhp*vp;;;MF1;;0.135677569;855.2913849;0.772989241;0.439742314
0.181238958;ldhp*vp;;;MJ1;;0.10322518;797.1972206;1.755763058;0.079512885
0.100210653;ldhp*vp;;;MJ2;;0.098293067;761.833044;1.019508862;0.308285091
0.143534665;ldhp*vp;;;MS1;;0.115626169;855.7038039;1.241368341;0.214809884
0.063603751;ldhp*vp;;;MS2;;0.111891076;887.0981734;0.568443471;0.569877743
-0.040342862;ldhp*vp;;;RC3;;0.100654409;766.1374054;-0.400805708;0.688674924
-0.135921085;ldhp*vp;;;RP1;;0.139203096;709.3497386;-0.976422854;0.329187827
0.025447722;ldhp*vp;;;RS1;;0.097147976;770.8722785;0.26194804;0.79343148
-0.019352385;ldhp*vp;;;RS2;;0.113225417;893.0455331;-0.170919088;0.864326104
-0.049888915;ldhp*vp;;;RS3;;0.118025313;828.0251406;-0.422696742;0.672626278
-8.41939E-05;ldhp*dens;;;;;3.30365E-05;3748.11252;-2.54851386;0.010857843
